reviewId,userName,content,score,at
f9fd9e34-d50c-4b9b-a4ff-4d7b3d54496a,Tami Amos,"So far I am not impressed with the app or with SheIn. SheIn asks you for measurements and recommends your size but it's way off causing several returns off the bat. That's where the app problems begin. They provide the prepaid label but the quality in the label imaage was poor so I had to print at premium ink so the post office could read, then I used the app to try both the take photo and the upload option of return rcpt but the app wouldn't save either. Still waiting on return credit. Concern.",1,27/04/2023 2:44
2a4fadd2-60e5-4e48-a9ba-1a7bf7b2fda9,Rosa Rivera,"When I track my order the USPS says: Your item was returned to the sender because of an incomplete address... I never had problems with my shipping address, always received my items at that address. I know many people from my country are having the same issue. I tried customer support and it's been 2 days and no response.",1,26/04/2023 2:23
24f5ba22-391a-4826-af92-d6d30d544cca,Joanne Circuit,"Ordered a few times & returned items no problem. The real test of a company is when you do have a problem & omg absolutely atrocious. No customer service available at all. I have returned item together in parcel all have been refunded except a bag at £11. I have made umpteen attempts to contact but had no joy. The live chat is a bot with no options to explain the query. It's just allow longer when you click incorrect refund. I have tried Facebook, twitter Instagram etc. Any help welcome.",2,16/04/2023 17:02
03f24830-88cf-4c82-ae99-443c5f5aad73,Kay Gee,"I can't leave reviews on items I got last month. I ordered some paw shaped headphones and they suck. The eartips keep popping off, I've never had that problem with earbuds before. And the black parts of the paws are rubbing off so now they look spotted black and white, it looks ugly.",2,14/04/2023 23:43
065057cc-895b-4865-a223-8b162e147854,Lauren Posey,"Used to be my Go-To app for all kinds of products. Until recently I cannot see any of the images on my Samsung Galaxy S21. My other friend has the same problem with Android usage. Only my iPad will work w/it & that is just not nearly as convenient for many ppl who access this app w/Android. Shame... Bc your app rocked & now we're looking elsewhere to replace what your app (or support; lack there of), has not done to rectify this matter. You're losing your Android users if you don't fix the image",2,24/04/2023 20:02
54473c3d-6af8-412f-8bff-e93231b110cd,Asmaa Alhaj Ibrahim,"The last 2 times i have ordered something, there was a problem with shipping, and it ended with returning the items. Usually, when i order something, it should be notified if there's any problem with the address !! I have been waiting for more than 3 weeks, and at the end, they sent me an email that all items could not be delivered.. i am not gonna do shopping from this app anymore..",1,14/03/2023 17:08
658b0058-6c7d-4cee-8e85-599d6b326d27,Um Abdulrahman,"I love SheIn. I usually order a lot at a time. Now I have some things that I need to return, and it's been 13days since and no notice at all. The customer service is always offline and I don't know what with all these items that I couldn't even use. I used to love this app. Re: yeah that'd be good right, problem is it's always offline. My packagenfor return is still with me and I don't I'd ever be able to return them",1,28/03/2023 13:36
965d72eb-8d7e-4d74-b74a-be31a697eb5a,Perla Villafranca,They use LSO as shipping and takes more than a month your items or you just never get them and theres no way of contacting the carrier and shein only gives you points instead of fixing the problem. DO BETTER SHEIN !!!!!,1,21/04/2023 1:50
8e775af5-f611-4489-9d23-cd5eb75b0dca,porsouaher,"Package was STOLEN! I've never had a problem with Shein until recently. I made an order & it said it would deliver between 03/21/23-03/23/23. I was out of town during the weekend & my package arrived on Saturday, which was the 18th of March. I did not get an email notification that it had been delivered. It was also noted in the app that it was delivered & someone ""signed"" for it when no one was home. Smh. Shein needs to do better with their deliveries.",2,04/04/2023 17:37
10f4870c-f400-43cd-a5e7-27b979538d73,Misha Raschuun,The first 2 orders came quite quick. It seems there are issues with Aramex. Orders with BUffalo ia deliveredmuch faster. The stuff gets sent quick from China. The problem is in South Africa. I sort of feel like i dont to wait months so i rather not use SHEIN again.,2,15/04/2023 20:03
117186c3-9b58-42c3-ad8d-4263b3d33801,Ibrahima Sall,"Really bad experience the first time I ordered from this app on 13/2. I order 10 items and got only 2 items I've been trying to reach customer care services but to no avail, they have already taken the money but did not receive what I pay for. The money has been taken why I'm I, not receiving my items on the due date as promised I was told it gonna take two weeks to receive my items I'm disappointed with the service my girlfriend is facing similar problems.",1,01/03/2023 1:18
69c198b1-f88b-45a2-b30a-f2c568bb4c6b,Dot Manning,App is OK as long as you don't need to contact then with an issue such as not receiving your refund payment. Seems that they are only interested in you buying stuff and not about any problems you may come across.,2,30/03/2023 15:24
e75dc309-d6ee-40c1-9004-fe268b0f6bc1,Krisha Dela Cruz,I've been using shein for a long time but it is the first time that it is not loading at all. I checked ny network connection and it is not the problem. I love shopping at shein but how can I shop if I can't see the pictures of the items? Please fix this. I've already updated app and it is not still fixed.,1,08/03/2023 4:50
